"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Massachusetts","Berkshire County","51","12","6","69","4,380","3,451.46","No","No"
"Massachusetts","Bristol County","90","54","19","163","13,325","2,386.61","No","No"
"Massachusetts","Dukes County","5","1","0","6","250","1,449.61","No","No"
"Massachusetts","Essex County","187","44","13","244","13,585","1,743.86","No","No"
"Massachusetts","Franklin County","28","16","3","47","3,265","4,638.97","No","No"
"Massachusetts","Hampden County","130","60","14","204","13,750","2,935.11","No","No"
"Massachusetts","Hampshire County","49","23","10","82","6,520","4,029.27","No","No"
"Massachusetts","Middlesex County","315","93","47","455","31,675","1,992.42","No","No"
"Massachusetts","Nantucket County","1","1","0","2","130","1,180.96","No","No"
"Massachusetts","Norfolk County","121","50","19","190","13,855","1,987.29","No","No"
"Massachusetts","Plymouth County","68","31","10","109","7,890","1,536.32","No","No"
"Massachusetts","Suffolk County","609","105","26","740","35,920","4,580.29","No","No"
"Massachusetts","Worcester County","168","71","23","262","18,465","2,252.96","No","No"
"Michigan","Alcona County","0","0","0","0","0","0","No","Yes"
"Michigan","Alger County","1","0","0","1","30","325.41","No","Yes"
"Michigan","Allegan County","2","3","0","5","360","311.56","No","Yes"
"Michigan","Alpena County","6","2","2","10","930","3,239.97","Yes","No"
"Michigan","Antrim County","3","0","0","3","90","388.87","No","Yes"
"Michigan","Arenac County","1","0","0","1","30","198.39","Yes","Yes"
"Michigan","Baraga County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Barry County","1","0","0","1","30","50.25","No","Yes"
"Michigan","Bay County","5","2","2","9","900","859.21","Yes","No"
"Michigan","Benzie County","0","0","0","0","0","0","No","Yes"
"Michigan","Berrien County","6","2","2","10","930","603.86","Yes","No"
"Michigan","Branch County","2","3","0","5","360","828.98","No","No"
"Michigan","Calhoun County","11","5","2","18","1,380","1,026.89","Yes","No"
"Michigan","Cass County","1","0","0","1","30","58.14","No","Yes"
"Michigan","Charlevoix County","2","0","0","2","60","229.24","No","Yes"
"Michigan","Cheboygan County","1","0","0","1","30","118.11","No","Yes"
"Michigan","Chippewa County","2","0","0","2","60","159.05","No","Yes"
"Michigan","Clare County","3","0","1","4","365","1,202.32","Yes","No"
"Michigan","Clinton County","1","2","1","4","505","648.37","No","No"
"Michigan","Crawford County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Delta County","0","2","0","2","200","552.46","No","No"
"Michigan","Dickinson County","3","0","0","3","90","352.46","Yes","Yes"
"Michigan","Eaton County","2","1","1","4","435","398.5","Yes","Yes"
"Michigan","Emmet County","2","1","1","4","435","1,310.95","No","No"
"Michigan","Genesee County","43","9","6","58","3,840","939.76","Yes","No"
"Michigan","Gladwin County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Gogebic County","1","0","0","1","30","196.81","Yes","Yes"
"Michigan","Grand Traverse County","18","9","1","28","1,715","1,862.43","Yes","No"
"Michigan","Gratiot County","1","0","0","1","30","72.81","No","Yes"
"Michigan","Hillsdale County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Houghton County","4","0","0","4","120","328.27","No","Yes"
"Michigan","Huron County","1","1","0","2","130","412.95","Yes","Yes"
"Michigan","Ingham County","17","6","0","23","1,110","385.35","Yes","Yes"
"Michigan","Ionia County","5","2","1","8","625","973.04","Yes","No"
"Michigan","Iosco County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Iron County","1","0","0","1","30","267.98","No","Yes"
"Michigan","Isabella County","4","1","1","6","495","694.42","Yes","No"
"Michigan","Jackson County","10","3","0","13","600","378.64","Yes","Yes"
"Michigan","Kalamazoo County","41","5","4","50","2,830","1,081.58","No","No"
"Michigan","Kalkaska County","0","0","1","1","275","1,593","No","No"
"Michigan","Kent County","69","19","10","98","6,720","1,046.45","No","No"
"Michigan","Keweenaw County","0","0","0","0","0","0","No","Yes"
"Michigan","Lake County","0","0","0","0","0","0","No","Yes"
"Michigan","Lapeer County","7","2","0","9","410","464.12","No","Yes"
"Michigan","Leelanau County","2","2","0","4","260","1,194.58","No","No"
"Michigan","Lenawee County","3","1","0","4","190","192.89","Yes","Yes"
"Michigan","Livingston County","18","11","1","30","1,915","1,015.25","No","No"
"Michigan","Luce County","1","0","0","1","30","471.85","No","Yes"
"Michigan","Mackinac County","0","0","0","0","0","0","No","Yes"
"Michigan","Macomb County","55","20","14","89","7,500","864.32","Yes","No"
"Michigan","Manistee County","1","0","0","1","30","123.09","Yes","Yes"
"Michigan","Marquette County","5","1","2","8","800","1,204.18","Yes","No"
"Michigan","Mason County","3","1","0","4","190","657.99","No","No"
"Michigan","Mecosta County","2","0","0","2","60","138.82","Yes","Yes"
"Michigan","Menominee County","0","0","0","0","0","0","No","Yes"
"Michigan","Midland County","3","0","0","3","90","107.83","Yes","Yes"
"Michigan","Missaukee County","0","0","0","0","0","0","No","Yes"
"Michigan","Monroe County","11","3","2","16","1,180","790.84","Yes","No"
"Michigan","Montcalm County","7","0","0","7","210","333.47","Yes","Yes"
"Michigan","Montmorency County","1","0","0","1","30","327.05","No","Yes"
"Michigan","Muskegon County","16","5","0","21","980","565.14","Yes","No"
"Michigan","Newaygo County","1","1","1","3","405","844.84","Yes","No"
"Michigan","Oakland County","164","67","20","251","17,120","1,376.24","No","No"
"Michigan","Oceana County","0","0","0","0","0","0","No","Yes"
"Michigan","Ogemaw County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Ontonagon County","0","0","0","0","0","0","No","Yes"
"Michigan","Osceola County","1","0","0","1","30","129.81","No","Yes"
"Michigan","Oscoda County","0","0","0","0","0","0","No","Yes"
"Michigan","Otsego County","0","1","0","1","100","408.66","Yes","Yes"
"Michigan","Ottawa County","5","2","0","7","350","124","No","Yes"
"Michigan","Presque Isle County","0","0","0","0","0","0","No","Yes"
"Michigan","Roscommon County","0","0","0","0","0","0","Yes","Yes"
"Michigan","Saginaw County","16","5","5","26","2,355","1,224.48","Yes","No"
"Michigan","St. Clair County","11","6","3","20","1,755","1,099.71","Yes","No"
"Michigan","St. Joseph County","0","0","0","0","0","0","No","Yes"
"Michigan","Sanilac County","1","2","0","3","230","555.43","Yes","No"
"Michigan","Schoolcraft County","0","0","0","0","0","0","No","Yes"
"Michigan","Shiawassee County","4","2","0","6","320","466.79","Yes","Yes"
"Michigan","Tuscola County","4","0","1","5","395","740.56","No","No"
"Michigan","Van Buren County","2","0","1","3","335","445.34","No","Yes"
"Michigan","Washtenaw County","80","16","8","104","6,200","1,699.99","No","No"
"Michigan","Wayne County","133","68","21","222","16,565","946.91","Yes","No"
"Michigan","Wexford County","1","0","0","1","30","90.46","No","Yes"
"Minnesota","Aitkin County","1","0","0","1","30","192.52","No","Yes"
"Minnesota","Anoka County","18","2","0","20","740","213.9","No","Yes"
"Minnesota","Becker County","0","2","0","2","200","592.87","No","No"
"Minnesota","Beltrami County","3","1","0","4","190","412.09","No","Yes"
"Minnesota","Benton County","0","1","0","1","100","250.05","No","Yes"
"Minnesota","Big Stone County","0","0","0","0","0","0","Yes","Yes"
"Minnesota","Blue Earth County","3","0","0","3","90","135.46","No","Yes"
"Minnesota","Brown County","0","1","0","1","100","394.77","No","Yes"
"Minnesota","Carlton County","5","0","0","5","150","419.72","No","Yes"
"Minnesota","Carver County","3","0","0","3","90","89.76","No","Yes"
"Minnesota","Cass County","2","0","1","3","335","1,155.45","No","No"
"Minnesota","Chippewa County","2","0","0","2","60","494.52","No","No"
"Minnesota","Chisago County","7","1","1","9","585","1,068.53","No","No"
"Minnesota","Clay County","1","1","0","2","130","206.76","No","Yes"
"Minnesota","Clearwater County","0","0","0","0","0","0","No","Yes"
"Minnesota","Cook County","0","0","0","0","0","0","No","Yes"
"Minnesota","Cottonwood County","0","0","0","0","0","0","No","Yes"
"Minnesota","Crow Wing County","2","0","0","2","60","93.84","No","Yes"
"Minnesota","Dakota County","21","6","4","31","2,330","558.1","No","No"
"Minnesota","Dodge County","0","0","0","0","0","0","No","Yes"
"Minnesota","Douglas County","3","0","0","3","90","240.28","No","Yes"
"Minnesota","Faribault County","0","0","0","0","0","0","No","Yes"
"Minnesota","Fillmore County","0","0","0","0","0","0","No","Yes"
"Minnesota","Freeborn County","1","1","1","3","405","1,330.22","No","No"
"Minnesota","Goodhue County","2","0","0","2","60","128.55","No","Yes"
"Minnesota","Grant County","0","0","0","0","0","0","No","Yes"
"Minnesota","Hennepin County","175","40","14","229","13,100","1,062.89","No","No"
"Minnesota","Houston County","1","0","0","1","30","159.46","No","Yes"
"Minnesota","Hubbard County","1","0","0","1","30","144.8","No","Yes"
"Minnesota","Isanti County","1","3","1","5","605","1,550.29","No","No"
"Minnesota","Itasca County","3","0","0","3","90","198.93","No","Yes"
"Minnesota","Jackson County","0","0","0","0","0","0","No","Yes"
"Minnesota","Kanabec County","1","0","0","1","30","189.51","No","Yes"
"Minnesota","Kandiyohi County","4","0","0","4","120","282.39","No","Yes"
"Minnesota","Kittson County","0","0","0","0","0","0","No","Yes"
"Minnesota","Koochiching County","0","0","0","0","0","0","No","Yes"
"Minnesota","Lac qui Parle County","0","0","0","0","0","0","No","Yes"
"Minnesota","Lake County","1","0","0","1","30","282.35","No","Yes"
"Minnesota","Lake of the Woods County","0","0","0","0","0","0","No","Yes"
"Minnesota","Le Sueur County","0","0","0","0","0","0","No","Yes"
"Minnesota","Lincoln County","0","0","0","0","0","0","No","Yes"
"Minnesota","Lyon County","1","0","0","1","30","116.74","No","Yes"
"Minnesota","McLeod County","0","0","0","0","0","0","No","Yes"
"Minnesota","Mahnomen County","0","0","0","0","0","0","No","Yes"
"Minnesota","Marshall County","0","0","0","0","0","0","No","Yes"
"Minnesota","Martin County","0","0","0","0","0","0","No","Yes"
"Minnesota","Meeker County","0","0","0","0","0","0","No","Yes"
"Minnesota","Mille Lacs County","3","0","0","3","90","347.95","No","Yes"
"Minnesota","Morrison County","0","2","0","2","200","609.37","No","No"
"Minnesota","Mower County","2","0","0","2","60","153.21","No","Yes"
"Minnesota","Murray County","0","0","0","0","0","0","No","Yes"
"Minnesota","Nicollet County","1","0","0","1","30","89.35","No","Yes"
"Minnesota","Nobles County","0","0","0","0","0","0","No","Yes"
"Minnesota","Norman County","0","0","0","0","0","0","No","Yes"
"Minnesota","Olmsted County","20","2","0","22","800","522.53","No","No"
"Minnesota","Otter Tail County","1","0","0","1","30","51.65","No","Yes"
"Minnesota","Pennington County","0","1","0","1","100","702.49","No","No"
"Minnesota","Pine County","0","0","0","0","0","0","No","Yes"
"Minnesota","Pipestone County","0","0","0","0","0","0","No","Yes"
"Minnesota","Polk County","0","0","0","0","0","0","No","Yes"
"Minnesota","Pope County","0","0","0","0","0","0","No","Yes"
"Minnesota","Ramsey County","64","9","7","80","4,745","877.65","No","No"
"Minnesota","Red Lake County","0","0","0","0","0","0","No","Yes"
"Minnesota","Redwood County","1","0","0","1","30","196.55","No","Yes"
"Minnesota","Renville County","0","0","0","0","0","0","No","Yes"
"Minnesota","Rice County","0","0","0","0","0","0","No","Yes"
"Minnesota","Rock County","0","0","0","0","0","0","No","Yes"
"Minnesota","Roseau County","0","0","0","0","0","0","No","Yes"
"Minnesota","St. Louis County","22","2","2","26","1,410","705.07","No","No"
"Minnesota","Scott County","2","0","0","2","60","41.76","No","Yes"
"Minnesota","Sherburne County","0","0","0","0","0","0","No","Yes"
"Minnesota","Sibley County","0","0","0","0","0","0","No","Yes"
"Minnesota","Stearns County","15","3","0","18","750","481.84","No","No"
"Minnesota","Steele County","2","0","0","2","60","163.02","No","Yes"
"Minnesota","Stevens County","0","0","0","0","0","0","No","Yes"
"Minnesota","Swift County","0","0","0","0","0","0","No","Yes"
"Minnesota","Todd County","0","0","0","0","0","0","No","Yes"
"Minnesota","Traverse County","0","0","0","0","0","0","No","Yes"
"Minnesota","Wabasha County","0","0","0","0","0","0","No","Yes"
"Minnesota","Wadena County","0","0","0","0","0","0","No","Yes"
"Minnesota","Waseca County","0","0","0","0","0","0","No","Yes"
"Minnesota","Washington County","12","2","0","14","560","221.24","No","Yes"
"Minnesota","Watonwan County","1","0","0","1","30","275.03","No","Yes"
"Minnesota","Wilkin County","0","0","0","0","0","0","No","Yes"
"Minnesota","Winona County","3","0","0","3","90","176.65","No","Yes"
"Minnesota","Wright County","5","1","0","6","250","188.61","No","Yes"
"Minnesota","Yellow Medicine County","0","0","0","0","0","0","No","Yes"
"Mississippi","Adams County","3","1","1","5","465","1,488.1","Yes","No"
"Mississippi","Alcorn County","6","0","0","6","180","482.52","Yes","No"
"Mississippi","Amite County","0","1","0","1","100","802.7","No","No"
"Mississippi","Attala County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Benton County","0","0","0","0","0","0","No","Yes"
"Mississippi","Bolivar County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Calhoun County","0","0","0","0","0","0","No","Yes"
"Mississippi","Carroll County","0","0","0","0","0","0","No","Yes"
"Mississippi","Chickasaw County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Choctaw County","0","0","0","0","0","0","No","Yes"
"Mississippi","Claiborne County","0","1","0","1","100","1,094.21","No","No"
"Mississippi","Clarke County","0","0","1","1","275","1,730.87","Yes","No"
"Mississippi","Clay County","0","1","0","1","100","503.78","Yes","No"
"Mississippi","Coahoma County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Copiah County","0","1","0","1","100","351.1","No","Yes"
"Mississippi","Covington County","1","0","0","1","30","153.3","Yes","Yes"
"Mississippi","DeSoto County","6","5","4","15","1,780","1,013.6","Yes","No"
"Mississippi","Forrest County","2","2","2","6","810","1,066.08","Yes","No"
"Mississippi","Franklin County","1","0","0","1","30","385.51","No","Yes"
"Mississippi","George County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Greene County","0","0","0","0","0","0","No","Yes"
"Mississippi","Grenada County","1","0","0","1","30","141.01","Yes","Yes"
"Mississippi","Hancock County","1","0","0","1","30","64.11","Yes","Yes"
"Mississippi","Harrison County","12","9","7","28","3,185","1,567.16","Yes","No"
"Mississippi","Hinds County","27","6","3","36","2,235","926.51","No","No"
"Mississippi","Holmes County","0","0","0","0","0","0","No","Yes"
"Mississippi","Humphreys County","0","0","0","0","0","0","No","Yes"
"Mississippi","Issaquena County","2","0","0","2","60","4,636.79","No","No"
"Mississippi","Itawamba County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Jackson County","8","4","3","15","1,465","1,037.23","Yes","No"
"Mississippi","Jasper County","1","0","0","1","30","180.96","No","Yes"
"Mississippi","Jefferson County","1","0","0","1","30","411.13","No","Yes"
"Mississippi","Jefferson Davis County","0","0","1","1","275","2,415.46","Yes","No"
"Mississippi","Jones County","0","0","1","1","275","404.69","Yes","Yes"
"Mississippi","Kemper County","0","1","0","1","100","1,010.51","No","No"
"Mississippi","Lafayette County","2","2","0","4","260","483.31","No","No"
"Mississippi","Lamar County","7","5","1","13","985","1,617.03","No","No"
"Mississippi","Lauderdale County","8","0","1","9","515","662.34","Yes","No"
"Mississippi","Lawrence County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Leake County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Lee County","6","1","0","7","280","327.94","Yes","Yes"
"Mississippi","Leflore County","2","0","0","2","60","200.96","Yes","Yes"
"Mississippi","Lincoln County","1","0","0","1","30","86.9","Yes","Yes"
"Mississippi","Lowndes County","1","0","0","1","30","50.33","Yes","Yes"
"Mississippi","Madison County","10","5","3","18","1,625","1,545.94","No","No"
"Mississippi","Marion County","1","4","0","5","430","1,702.9","Yes","No"
"Mississippi","Marshall County","0","0","0","0","0","0","No","Yes"
"Mississippi","Monroe County","3","1","0","4","190","529.65","Yes","No"
"Mississippi","Montgomery County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Neshoba County","1","1","0","2","130","442.13","Yes","Yes"
"Mississippi","Newton County","1","0","1","2","305","1,414.79","No","No"
"Mississippi","Noxubee County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Oktibbeha County","0","1","1","2","375","752.51","No","No"
"Mississippi","Panola County","1","0","2","3","580","1,697.69","Yes","No"
"Mississippi","Pearl River County","1","0","0","1","30","54.24","Yes","Yes"
"Mississippi","Perry County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Pike County","3","2","1","6","565","1,424.36","Yes","No"
"Mississippi","Pontotoc County","3","1","3","7","1,015","3,217.12","Yes","No"
"Mississippi","Prentiss County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Quitman County","0","0","0","0","0","0","No","Yes"
"Mississippi","Rankin County","5","8","2","15","1,500","998.48","Yes","No"
"Mississippi","Scott County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Sharkey County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Simpson County","0","0","0","0","0","0","No","Yes"
"Mississippi","Smith County","1","0","0","1","30","188.57","No","Yes"
"Mississippi","Stone County","0","0","0","0","0","0","Yes","Yes"
"Mississippi","Sunflower County","0","1","0","1","100","378.69","No","Yes"
"Mississippi","Tallahatchie County","0","0","0","0","0","0","No","Yes"
